EmployeeID,BaseSalary,SSSAmount,PhilHealthAmount,PagIBIGAmount,WithholdingTax,RiceSubsidy,PhoneAllowance,ClothingAllowance
10031,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10030,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10019,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10018,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10011,50825.0,1750.0,2541.25,200.0,7748.00,1500.0,1000.0,1000.0
10033,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10010,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10032,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10013,24000.0,1200.0,1200.0,200.0,1133.40,1500.0,500.0,500.0
10035,35000.0,1750.0,1750.0,200.0,3741.75,1500.0,1000.0,800.0
10012,38475.0,1750.0,1923.75,200.0,4560.50,1500.0,800.0,800.0
10034,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10015,53500.0,1750.0,2675.0,200.0,8416.75,1500.0,1000.0,1000.0
10037,35000.0,1750.0,1750.0,200.0,3641.75,1500.0,800.0,600.0
10014,24000.0,1200.0,1200.0,200.0,1133.40,1500.0,500.0,500.0
10036,60000.0,1750.0,3000.0,200.0,9891.75,1500.0,800.0,600.0
10017,41850.0,1750.0,2092.5,200.0,5404.25,1500.0,800.0,800.0
10016,42975.0,1750.0,2148.75,200.0,5685.50,1500.0,800.0,800.0
10038,35000.0,1750.0,1750.0,200.0,3741.75,1500.0,1000.0,800.0
10020,23250.0,1175.0,1162.5,200.0,983.40,1500.0,500.0,500.0
10008,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10007,42975.0,1750.0,2148.75,200.0,5685.50,1500.0,800.0,800.0
10029,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10009,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10022,24000.0,1200.0,1200.0,200.0,1133.40,1500.0,500.0,500.0
10021,23250.0,1175.0,1162.5,200.0,983.40,1500.0,500.0,500.0
10002,60000.0,1750.0,3000.0,200.0,10291.75,1500.0,2000.0,1000.0
10024,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10001,90000.0,1750.0,4500.0,200.0,19183.23,1500.0,2000.0,1000.0
10023,22500.0,1125.0,1125.0,200.0,833.40,1500.0,500.0,500.0
10004,60000.0,1750.0,3000.0,200.0,10291.75,1500.0,2000.0,1000.0
10026,24750.0,1250.0,1237.5,200.0,1283.40,1500.0,500.0,500.0
10003,60000.0,1750.0,3000.0,200.0,10291.75,1500.0,2000.0,1000.0
10025,24000.0,1200.0,1200.0,200.0,1133.40,1500.0,500.0,500.0
10006,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10028,24000.0,1200.0,1200.0,200.0,1133.40,1500.0,500.0,500.0
10005,52670.0,1750.0,2633.5,200.0,8209.25,1500.0,1000.0,1000.0
10027,24750.0,1250.0,1237.5,200.0,1283.40,1500.0,500.0,500.0
